    66    0.30519E+04    0.10009E+00   -0.34959E+01    0.91585E+06    0.86671E+04
    67    0.30974E+04    0.10487E+00   -0.37486E+01    0.89883E+06    0.85286E+04
    68    0.31431E+04    0.10980E+00   -0.40082E+01    0.88208E+06    0.83927E+04
    69    0.31888E+04    0.11484E+00   -0.42732E+01    0.86561E+06    0.82586E+04
    70    0.32347E+04    0.12001E+00   -0.45452E+01    0.84942E+06    0.81253E+04
    71    0.32806E+04    0.12528E+00   -0.48268E+01    0.83350E+06    0.79923E+04
    72    0.33265E+04    0.13066E+00   -0.51197E+01    0.81785E+06    0.78599E+04
    73    0.33723E+04    0.13613E+00   -0.54253E+01    0.80246E+06    0.77285E+04
    74    0.34180E+04    0.14172E+00   -0.57432E+01    0.78734E+06    0.75988E+04
    75    0.34637E+04    0.14746E+00   -0.60724E+01    0.77248E+06    0.74714E+04
    76    0.35094E+04    0.15337E+00   -0.64126E+01    0.75787E+06    0.73468E+04
    77    0.35550E+04    0.15945E+00   -0.67631E+01    0.74351E+06    0.72256E+04
    78    0.36007E+04    0.16572E+00   -0.71243E+01    0.72940E+06    0.71083E+04
    79    0.36463E+04    0.17212E+00   -0.74915E+01    0.71553E+06    0.69956E+04
    80    0.36920E+04    0.17865E+00   -0.78652E+01    0.70190E+06    0.68879E+04
    81    0.37377E+04    0.18527E+00   -0.82453E+01    0.68850E+06    0.67858E+04
    82    0.37835E+04    0.19200E+00   -0.86313E+01    0.67534E+06    0.66888E+04
    83    0.38292E+04    0.19884E+00   -0.90237E+01    0.66241E+06    0.65965E+04
    84    0.38751E+04    0.20580E+00   -0.94212E+01    0.64970E+06    0.65084E+04
    85    0.39208E+04    0.21287E+00   -0.98258E+01    0.63721E+06    0.64241E+04
    86    0.39666E+04    0.22008E+00   -0.10237E+02    0.62495E+06    0.63431E+04
    87    0.40127E+04    0.22742E+00   -0.10655E+02    0.61290E+06    0.62650E+04
    88    0.40586E+04    0.23490E+00   -0.11079E+02    0.60107E+06    0.61891E+04
    89    0.41047E+04    0.24253E+00   -0.11512E+02    0.58945E+06    0.61152E+04
    90    0.41508E+04    0.25029E+00   -0.11951E+02    0.57803E+06    0.60426E+04
    91    0.41969E+04    0.25818E+00   -0.12397E+02    0.56682E+06    0.59711E+04
    92    0.42431E+04    0.26619E+00   -0.12850E+02    0.55582E+06    0.59005E+04
